Home Type,Home Size,Number of Occupants,Energy Type,Monthly Electricity Bill,CO2 Emissions (kg)
Townhouse,Under 1000 sq. ft.,5 Occupants,Propane,$50-$100,3800
Townhouse,Under 1000 sq. ft.,5 Occupants,Propane,$100-$150,5000
Townhouse,Under 1000 sq. ft.,5 Occupants,Propane,$150-$200,5800
Townhouse,Under 1000 sq. ft.,5 Occupants,Propane,Over $200,7800
Townhouse,Under 1000 sq. ft.,5 Occupants,Wood,Under $50,2600
Townhouse,Under 1000 sq. ft.,5 Occupants,Wood,$50-$100,3400
Townhouse,Under 1000 sq. ft.,5 Occupants,Wood,$100-$150,3800
Townhouse,Under 1000 sq. ft.,5 Occupants,Wood,$150-$200,4000
Townhouse,Under 1000 sq. ft.,5 Occupants,Wood,Over $200,4300
Townhouse,1000-2000 sq. ft.,1 Occupant,Natural Gas,Under $50,2443
Townhouse,1000-2000 sq. ft.,1 Occupant,Natural Gas,$50-$100,4000
Townhouse,1000-2000 sq. ft.,1 Occupant,Natural Gas,$100-$150,4300
Townhouse,1000-2000 sq. ft.,1 Occupant,Natural Gas,$150-$200,4800
Townhouse,1000-2000 sq. ft.,1 Occupant,Natural Gas,Over $200,9500
Townhouse,1000-2000 sq. ft.,1 Occupant,Electricity,Under $50,300
Townhouse,1000-2000 sq. ft.,1 Occupant,Electricity,$50-$100,550
Townhouse,1000-2000 sq. ft.,1 Occupant,Electricity,$100-$150,1200
Townhouse,1000-2000 sq. ft.,1 Occupant,Electricity,$150-$200,1700
Townhouse,1000-2000 sq. ft.,1 Occupant,Electricity,Over $200,2500
Townhouse,1000-2000 sq. ft.,1 Occupant,Oil,Under $50,2590
Townhouse,1000-2000 sq. ft.,1 Occupant,Oil,$50-$100,3800
Townhouse,1000-2000 sq. ft.,1 Occupant,Oil,$100-$150,5000
Townhouse,1000-2000 sq. ft.,1 Occupant,Oil,$150-$200,5350
Townhouse,1000-2000 sq. ft.,1 Occupant,Oil,Over $200,5370
Townhouse,1000-2000 sq. ft.,1 Occupant,Propane,Under $50,3170
Townhouse,1000-2000 sq. ft.,1 Occupant,Propane,$50-$100,5600
Townhouse,1000-2000 sq. ft.,1 Occupant,Propane,$100-$150,6000
Townhouse,1000-2000 sq. ft.,1 Occupant,Propane,$150-$200,3680
Townhouse,1000-2000 sq. ft.,1 Occupant,Propane,Over $200,6000
Townhouse,1000-2000 sq. ft.,1 Occupant,Wood,Under $50,1400
Townhouse,1000-2000 sq. ft.,1 Occupant,Wood,$50-$100,2400
Townhouse,1000-2000 sq. ft.,1 Occupant,Wood,$100-$150,4000
Townhouse,1000-2000 sq. ft.,1 Occupant,Wood,$150-$200,3800
Townhouse,1000-2000 sq. ft.,1 Occupant,Wood,Over $200,4000
Townhouse,1000-2000 sq. ft.,2 Occupants,Natural Gas,Under $50,2750
Townhouse,1000-2000 sq. ft.,2 Occupants,Natural Gas,$50-$100,5000
Townhouse,1000-2000 sq. ft.,2 Occupants,Natural Gas,$100-$150,5500
Townhouse,1000-2000 sq. ft.,2 Occupants,Natural Gas,$150-$200,6300
Townhouse,1000-2000 sq. ft.,2 Occupants,Natural Gas,Over $200,10100
Townhouse,1000-2000 sq. ft.,2 Occupants,Electricity,Under $50,380
Townhouse,1000-2000 sq. ft.,2 Occupants,Electricity,$50-$100,700
Townhouse,1000-2000 sq. ft.,2 Occupants,Electricity,$100-$150,1350
Townhouse,1000-2000 sq. ft.,2 Occupants,Electricity,$150-$200,1900
Townhouse,1000-2000 sq. ft.,2 Occupants,Electricity,Over $200,2780
Townhouse,1000-2000 sq. ft.,2 Occupants,Oil,Under $50,2620
Townhouse,1000-2000 sq. ft.,2 Occupants,Oil,$50-$100,4320
Townhouse,1000-2000 sq. ft.,2 Occupants,Oil,$100-$150,5800
Townhouse,1000-2000 sq. ft.,2 Occupants,Oil,$150-$200,5500
Townhouse,1000-2000 sq. ft.,2 Occupants,Oil,Over $200,5500
Townhouse,1000-2000 sq. ft.,2 Occupants,Propane,Under $50,3770
Townhouse,1000-2000 sq. ft.,2 Occupants,Propane,$50-$100,5940
Townhouse,1000-2000 sq. ft.,2 Occupants,Propane,$100-$150,6200
Townhouse,1000-2000 sq. ft.,2 Occupants,Propane,$150-$200,4280
Townhouse,1000-2000 sq. ft.,2 Occupants,Propane,Over $200,6600
Townhouse,1000-2000 sq. ft.,2 Occupants,Wood,Under $50,1560
Townhouse,1000-2000 sq. ft.,2 Occupants,Wood,$50-$100,2600
Townhouse,1000-2000 sq. ft.,2 Occupants,Wood,$100-$150,4310
Townhouse,1000-2000 sq. ft.,2 Occupants,Wood,$150-$200,3800
Townhouse,1000-2000 sq. ft.,2 Occupants,Wood,Over $200,4640
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,Under $50,3111
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,$50-$100,6500
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,$100-$150,6800
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,$150-$200,8500
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,Over $200,11200
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Electricity,Under $50,500
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Electricity,$50-$100,950
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Electricity,$100-$150,1520
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Electricity,$150-$200,2150
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Electricity,Over $200,3000
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Oil,Under $50,2730
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Oil,$50-$100,4800
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Oil,$100-$150,6200
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Oil,$150-$200,5720
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Oil,Over $200,5800
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Propane,Under $50,4670
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Propane,$50-$100,6140
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Propane,$100-$150,6420
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Propane,$150-$200,5180
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Propane,Over $200,6800
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Wood,Under $50,1900
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Wood,$50-$100,3300
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Wood,$100-$150,4600
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Wood,$150-$200,4220
Townhouse,1000-2000 sq. ft.,3-4 Occupants,Wood,Over $200,5000
Townhouse,1000-2000 sq. ft.,5 Occupants,Natural Gas,Under $50,3580
Townhouse,1000-2000 sq. ft.,5 Occupants,Natural Gas,$50-$100,7300
Townhouse,1000-2000 sq. ft.,5 Occupants,Natural Gas,$100-$150,8340
Townhouse,1000-2000 sq. ft.,5 Occupants,Natural Gas,$150-$200,9000
Townhouse,1000-2000 sq. ft.,5 Occupants,Natural Gas,Over $200,14000
Townhouse,1000-2000 sq. ft.,5 Occupants,Electricity,Under $50,590
Townhouse,1000-2000 sq. ft.,5 Occupants,Electricity,$50-$100,1100
Townhouse,1000-2000 sq. ft.,5 Occupants,Electricity,$100-$150,1700
Townhouse,1000-2000 sq. ft.,5 Occupants,Electricity,$150-$200,2400
Townhouse,1000-2000 sq. ft.,5 Occupants,Electricity,Over $200,3500
Townhouse,1000-2000 sq. ft.,5 Occupants,Oil,Under $50,2800
Townhouse,1000-2000 sq. ft.,5 Occupants,Oil,$50-$100,5500
Townhouse,1000-2000 sq. ft.,5 Occupants,Oil,$100-$150,6100
Townhouse,1000-2000 sq. ft.,5 Occupants,Oil,$150-$200,5900
Townhouse,1000-2000 sq. ft.,5 Occupants,Oil,Over $200,6200
Townhouse,1000-2000 sq. ft.,5 Occupants,Propane,Under $50,5570
Townhouse,1000-2000 sq. ft.,5 Occupants,Propane,$50-$100,6340
Townhouse,1000-2000 sq. ft.,5 Occupants,Propane,$100-$150,6500
Townhouse,1000-2000 sq. ft.,5 Occupants,Propane,$150-$200,6080
Townhouse,1000-2000 sq. ft.,5 Occupants,Propane,Over $200,7400
Townhouse,1000-2000 sq. ft.,5 Occupants,Wood,Under $50,2200
Townhouse,1000-2000 sq. ft.,5 Occupants,Wood,$50-$100,3800
Townhouse,1000-2000 sq. ft.,5 Occupants,Wood,$100-$150,5100
Townhouse,1000-2000 sq. ft.,5 Occupants,Wood,$150-$200,4400
Townhouse,1000-2000 sq. ft.,5 Occupants,Wood,Over $200,5430
Townhouse,Over 2000 sq. ft.,1 Occupant,Natural Gas,Under $50,2822
Townhouse,Over 2000 sq. ft.,1 Occupant,Natural Gas,$50-$100,3600
Townhouse,Over 2000 sq. ft.,1 Occupant,Natural Gas,$100-$150,5000
Townhouse,Over 2000 sq. ft.,1 Occupant,Natural Gas,$150-$200,8000
Townhouse,Over 2000 sq. ft.,1 Occupant,Natural Gas,Over $200,9500
Townhouse,Over 2000 sq. ft.,1 Occupant,Electricity,Under $50,300
Townhouse,Over 2000 sq. ft.,1 Occupant,Electricity,$50-$100,1200
Townhouse,Over 2000 sq. ft.,1 Occupant,Electricity,$100-$150,1800
Townhouse,Over 2000 sq. ft.,1 Occupant,Electricity,$150-$200,2400
Townhouse,Over 2000 sq. ft.,1 Occupant,Electricity,Over $200,2800
Townhouse,Over 2000 sq. ft.,1 Occupant,Oil,Under $50,2810
Townhouse,Over 2000 sq. ft.,1 Occupant,Oil,$50-$100,4300
Townhouse,Over 2000 sq. ft.,1 Occupant,Oil,$100-$150,5300
Townhouse,Over 2000 sq. ft.,1 Occupant,Oil,$150-$200,5440
Townhouse,Over 2000 sq. ft.,1 Occupant,Oil,Over $200,5670
Townhouse,Over 2000 sq. ft.,1 Occupant,Propane,Under $50,3340
Townhouse,Over 2000 sq. ft.,1 Occupant,Propane,$50-$100,5900
Townhouse,Over 2000 sq. ft.,1 Occupant,Propane,$100-$150,3510
Townhouse,Over 2000 sq. ft.,1 Occupant,Propane,$150-$200,3800
Townhouse,Over 2000 sq. ft.,1 Occupant,Propane,Over $200,6200
Townhouse,Over 2000 sq. ft.,1 Occupant,Wood,Under $50,3800
Townhouse,Over 2000 sq. ft.,1 Occupant,Wood,$50-$100,3500
Townhouse,Over 2000 sq. ft.,1 Occupant,Wood,$100-$150,4100
Townhouse,Over 2000 sq. ft.,1 Occupant,Wood,$150-$200,4200
Townhouse,Over 2000 sq. ft.,1 Occupant,Wood,Over $200,4300
Townhouse,Over 2000 sq. ft.,2 Occupants,Natural Gas,Under $50,3010
Townhouse,Over 2000 sq. ft.,2 Occupants,Natural Gas,$50-$100,3840
Townhouse,Over 2000 sq. ft.,2 Occupants,Natural Gas,$100-$150,6200
Townhouse,Over 2000 sq. ft.,2 Occupants,Natural Gas,$150-$200,8300
Townhouse,Over 2000 sq. ft.,2 Occupants,Natural Gas,Over $200,10100
Townhouse,Over 2000 sq. ft.,2 Occupants,Electricity,Under $50,560
Townhouse,Over 2000 sq. ft.,2 Occupants,Electricity,$50-$100,1380
Townhouse,Over 2000 sq. ft.,2 Occupants,Electricity,$100-$150,2000
Townhouse,Over 2000 sq. ft.,2 Occupants,Electricity,$150-$200,2500
Townhouse,Over 2000 sq. ft.,2 Occupants,Electricity,Over $200,3000
Townhouse,Over 2000 sq. ft.,2 Occupants,Oil,Under $50,3000
Townhouse,Over 2000 sq. ft.,2 Occupants,Oil,$50-$100,4900
Townhouse,Over 2000 sq. ft.,2 Occupants,Oil,$100-$150,5690
Townhouse,Over 2000 sq. ft.,2 Occupants,Oil,$150-$200,5600
Townhouse,Over 2000 sq. ft.,2 Occupants,Oil,Over $200,5800
Townhouse,Over 2000 sq. ft.,2 Occupants,Propane,Under $50,3940
Townhouse,Over 2000 sq. ft.,2 Occupants,Propane,$50-$100,6330
Townhouse,Over 2000 sq. ft.,2 Occupants,Propane,$100-$150,4110
Townhouse,Over 2000 sq. ft.,2 Occupants,Propane,$150-$200,4500
Townhouse,Over 2000 sq. ft.,2 Occupants,Propane,Over $200,6900
Townhouse,Over 2000 sq. ft.,2 Occupants,Wood,Under $50,4070
Townhouse,Over 2000 sq. ft.,2 Occupants,Wood,$50-$100,3930
Townhouse,Over 2000 sq. ft.,2 Occupants,Wood,$100-$150,4500
Townhouse,Over 2000 sq. ft.,2 Occupants,Wood,$150-$200,4640
Townhouse,Over 2000 sq. ft.,2 Occupants,Wood,Over $200,4700
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,Under $50,3300
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,$50-$100,3900
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,$100-$150,7000
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,$150-$200,9000
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,Over $200,10300
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Electricity,Under $50,890
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Electricity,$50-$100,1600
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Electricity,$100-$150,2200
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Electricity,$150-$200,2650
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Electricity,Over $200,3800
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Oil,Under $50,3468
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Oil,$50-$100,5320
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Oil,$100-$150,6250
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Oil,$150-$200,5800
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Oil,Over $200,6100
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Propane,Under $50,4840
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Propane,$50-$100,6440
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Propane,$100-$150,5010
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Propane,$150-$200,5380
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Propane,Over $200,7500
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Wood,Under $50,5000
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Wood,$50-$100,4360
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Wood,$100-$150,4780
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Wood,$150-$200,5000
Townhouse,Over 2000 sq. ft.,3-4 Occupants,Wood,Over $200,5100
Townhouse,Over 2000 sq. ft.,5 Occupants,Natural Gas,Under $50,3600
Townhouse,Over 2000 sq. ft.,5 Occupants,Natural Gas,$50-$100,5100
Townhouse,Over 2000 sq. ft.,5 Occupants,Natural Gas,$100-$150,8000
Townhouse,Over 2000 sq. ft.,5 Occupants,Natural Gas,$150-$200,9500
Townhouse,Over 2000 sq. ft.,5 Occupants,Natural Gas,Over $200,11000
Townhouse,Over 2000 sq. ft.,5 Occupants,Electricity,Under $50,1000
Townhouse,Over 2000 sq. ft.,5 Occupants,Electricity,$50-$100,1750
Townhouse,Over 2000 sq. ft.,5 Occupants,Electricity,$100-$150,2300
Townhouse,Over 2000 sq. ft.,5 Occupants,Electricity,$150-$200,2800
Townhouse,Over 2000 sq. ft.,5 Occupants,Electricity,Over $200,4300
Townhouse,Over 2000 sq. ft.,5 Occupants,Oil,Under $50,3760
Townhouse,Over 2000 sq. ft.,5 Occupants,Oil,$50-$100,5800
Townhouse,Over 2000 sq. ft.,5 Occupants,Oil,$100-$150,6500
Townhouse,Over 2000 sq. ft.,5 Occupants,Oil,$150-$200,6000
Townhouse,Over 2000 sq. ft.,5 Occupants,Oil,Over $200,6350
Townhouse,Over 2000 sq. ft.,5 Occupants,Propane,Under $50,5740
Townhouse,Over 2000 sq. ft.,5 Occupants,Propane,$50-$100,6900
Townhouse,Over 2000 sq. ft.,5 Occupants,Propane,$100-$150,5910
Townhouse,Over 2000 sq. ft.,5 Occupants,Propane,$150-$200,6200
Townhouse,Over 2000 sq. ft.,5 Occupants,Propane,Over $200,7850
Townhouse,Over 2000 sq. ft.,5 Occupants,Wood,Under $50,5600
Townhouse,Over 2000 sq. ft.,5 Occupants,Wood,$50-$100,5000
Townhouse,Over 2000 sq. ft.,5 Occupants,Wood,$100-$150,5360
Townhouse,Over 2000 sq. ft.,5 Occupants,Wood,$150-$200,5400
Townhouse,Over 2000 sq. ft.,5 Occupants,Wood,Over $200,5500
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Natural Gas,Under $50,1680
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Natural Gas,$50-$100,2240
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Natural Gas,$100-$150,2800
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Natural Gas,$150-$200,3700
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Natural Gas,Over $200,5000
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Electricity,Under $50,200
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Electricity,$50-$100,500
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Electricity,$100-$150,900
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Electricity,$150-$200,1400
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Electricity,Over $200,1900
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Oil,Under $50,0
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Oil,$50-$100,0
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Oil,$100-$150,0
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Oil,$150-$200,0
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Oil,Over $200,0
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Propane,Under $50,1320
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Propane,$50-$100,2100
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Propane,$100-$150,3000
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Propane,$150-$200,3300
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Propane,Over $200,5700
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Wood,Under $50,1600
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Wood,$50-$100,1800
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Wood,$100-$150,2800
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Wood,$150-$200,3000
Condo/Apartment,Under 1000 sq. ft.,1 Occupant,Wood,Over $200,3500
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Natural Gas,Under $50,1870
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Natural Gas,$50-$100,2430
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Natural Gas,$100-$150,3000
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Natural Gas,$150-$200,4100
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Natural Gas,Over $200,6000
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Electricity,Under $50,250
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Electricity,$50-$100,550
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Electricity,$100-$150,1100
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Electricity,$150-$200,1600
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Electricity,Over $200,2100
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Oil,Under $50,0
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Oil,$50-$100,0
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Oil,$100-$150,0
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Oil,$150-$200,0
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Oil,Over $200,0
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Propane,Under $50,1550
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Propane,$50-$100,2400
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Propane,$100-$150,3300
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Propane,$150-$200,3700
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Propane,Over $200,6000
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Wood,Under $50,1850
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Wood,$50-$100,2000
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Wood,$100-$150,3000
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Wood,$150-$200,3100
Condo/Apartment,Under 1000 sq. ft.,2 Occupants,Wood,Over $200,3600
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,Under $50,2170
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,$50-$100,2719
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,$100-$150,3200
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,$150-$200,4600
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,Over $200,6600
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Electricity,Under $50,380
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Electricity,$50-$100,580
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Electricity,$100-$150,1200
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Electricity,$150-$200,1700
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Electricity,Over $200,2200
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Oil,Under $50,0
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Oil,$50-$100,0
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Oil,$100-$150,0
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Oil,$150-$200,0
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Oil,Over $200,0
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Propane,Under $50,1800
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Propane,$50-$100,2800
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Propane,$100-$150,3700
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Propane,$150-$200,4400
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Propane,Over $200,6600
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Wood,Under $50,2000
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Wood,$50-$100,2300
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Wood,$100-$150,3300
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Wood,$150-$200,3500
Condo/Apartment,Under 1000 sq. ft.,3-4 Occupants,Wood,Over $200,3900
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Natural Gas,Under $50,2440
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Natural Gas,$50-$100,2997
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Natural Gas,$100-$150,3500
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Natural Gas,$150-$200,5000
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Natural Gas,Over $200,7000
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Electricity,Under $50,450
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Electricity,$50-$100,600
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Electricity,$100-$150,1300
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Electricity,$150-$200,1900
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Electricity,Over $200,2600
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Oil,Under $50,0
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Oil,$50-$100,0
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Oil,$100-$150,0
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Oil,$150-$200,0
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Oil,Over $200,0
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Propane,Under $50,2000
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Propane,$50-$100,3200
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Propane,$100-$150,4300
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Propane,$150-$200,5200
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Propane,Over $200,7000
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Wood,Under $50,2100
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Wood,$50-$100,2400
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Wood,$100-$150,3500
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Wood,$150-$200,3900
Condo/Apartment,Under 1000 sq. ft.,5 Occupants,Wood,Over $200,4200
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Natural Gas,Under $50,2060
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Electricity,Under $50,300
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Oil,Under $50,0
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Propane,Under $50,1500
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Wood,Under $50,1800
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Natural Gas,$50-$100,2500
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Electricity,$50-$100,550
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Oil,$50-$100,0
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Propane,$50-$100,3000
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Wood,$50-$100,2200
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Natural Gas,$100-$150,3100
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Electricity,$100-$150,1250
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Oil,$100-$150,0
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Propane,$100-$150,4100
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Wood,$100-$150,3200
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Natural Gas,$150-$200,4000
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Electricity,$150-$200,1900
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Oil,$150-$200,0
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Propane,$150-$200,4550
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Wood,$150-$200,3100
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Natural Gas,Over $200,5350
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Electricity,Over $200,2300
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Oil,Over $200,0
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Propane,Over $200,6000
Condo/Apartment,1000-2000 sq. ft.,1 Occupant,Wood,Over $200,3900
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Natural Gas,Under $50,2260
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Electricity,Under $50,400
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Oil,Under $50,0
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Propane,Under $50,1700
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Wood,Under $50,2200
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Natural Gas,$50-$100,2880
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Electricity,$50-$100,670
